Solution,Time,Objective
0,342.4628469944,144080.0
1,343.7599630355835,135735.0
2,346.6999568939209,132885.0
3,355.62159991264343,126630.0
4,359.49155592918396,125790.0
5,362.2671101093292,123600.0
6,364.81465697288513,123270.0
7,368.4073898792267,122790.0
8,369.1929461956024,119265.0
9,371.45513105392456,119040.0
10,373.57792711257935,118830.0
11,375.00085282325745,106900.0
12,377.5580880641937,103240.0
13,379.3204598426819,98290.0
14,381.1751778125763,98260.0
15,382.39150309562683,94705.0
16,383.8014271259308,86815.0
17,385.7494361400604,75115.0
18,387.23000478744507,68860.0
19,389.8673598766327,65970.0
20,390.5924918651581,62955.0
21,391.7249619960785,62855.0
22,392.2784779071808,62835.0
23,393.472519159317,62695.0
24,393.5219929218292,58805.0
25,395.4533009529114,58475.0
26,396.1997380256653,56440.0
27,398.32300901412964,56380.0
28,399.90063405036926,56365.0
29,403.9269289970398,54100.0
30,406.6859538555145,54040.0
31,408.2876777648926,50775.0
32,409.9212110042572,50655.0
33,412.3683371543884,50505.0
34,413.34345388412476,49325.0
35,415.2663080692291,49175.0
36,416.59672379493713,49135.0
37,417.440936088562,49085.0
38,419.24967217445374,47210.0
39,420.666855096817,47200.0
40,425.76314306259155,46345.0
41,426.96752882003784,46195.0
42,428.66319394111633,45645.0
43,429.814297914505,43570.0
44,431.7319951057434,43555.0
45,431.88783407211304,43375.0
46,433.3827681541443,43315.0
47,434.45396184921265,43210.0
48,437.11069679260254,43150.0
49,438.74048614501953,43120.0
50,442.05452513694763,43090.0
51,449.5465319156647,43040.0
52,452.2111210823059,42955.0
53,456.9098799228668,42940.0
54,458.080687046051,42920.0
55,466.25800490379333,41450.0
56,467.7882630825043,39320.0
57,470.44779109954834,36795.0
58,473.85050415992737,36670.0
59,474.87102603912354,36385.0
60,476.04940581321716,35105.0
61,477.25662088394165,35015.0
62,478.49144887924194,34890.0
63,483.54733204841614,34730.0
64,486.0423469543457,34680.0
65,487.5596241950989,34350.0
66,489.5490679740906,20515.0
67,491.6921708583832,20395.0
68,497.4279489517212,20365.0
69,500.76522421836853,20255.0
70,510.1593589782715,20145.0
71,513.9525599479675,19035.0
72,517.260819196701,19005.0
73,517.289361000061,18920.0
74,518.0806629657745,18510.0
75,519.3673660755157,18375.0
76,523.6901009082794,18225.0
77,532.3518249988556,18130.0
78,538.4005291461945,18115.0
79,542.0673389434814,18065.0
80,543.2447180747986,17995.0
81,544.3655378818512,17890.0
82,548.4839010238647,17815.0
83,550.9377908706665,17760.0
84,555.7231011390686,17720.0
85,561.6466789245605,17705.0
86,568.8749091625214,17680.0
87,574.517904996872,17585.0
88,578.2187659740448,17555.0
89,594.7241430282593,17525.0
90,601.9027419090271,17405.0
91,608.0871999263763,17335.0
92,609.6273000240326,17305.0
93,611.0184659957886,17250.0
94,617.7827608585358,17230.0
95,622.5701360702515,17220.0
96,629.5636849403381,17135.0
97,631.8385188579559,17075.0
98,645.4611718654633,17065.0
99,648.541671037674,17045.0
100,651.1825740337372,16895.0
101,655.0962009429932,16875.0
102,658.8007500171661,16835.0
103,664.9950749874115,16735.0
104,668.997535943985,16655.0
105,672.4961760044098,16640.0
106,675.7597410678864,16550.0
107,682.8627860546112,16540.0
108,686.5100979804993,16530.0
109,718.8985769748688,16490.0
110,723.7907371520996,16485.0
111,726.8299071788788,16470.0
112,730.5724678039551,16450.0
113,759.0136208534241,16430.0
114,767.858922958374,16410.0
115,781.430920124054,16400.0
116,788.7871778011322,16380.0
117,795.8484258651733,16350.0
118,810.4266769886017,16345.0
119,813.957939863205,16325.0
120,821.6377928256989,16305.0
121,828.2767779827118,16285.0
122,834.9843289852142,16275.0
123,839.123172044754,16155.0
124,842.7156450748444,16145.0
125,846.2493920326233,16125.0
126,857.4002149105072,16105.0
127,864.8290238380432,11955.0
128,869.362909078598,11925.0
129,890.5641629695892,11915.0
130,900.8173401355743,11905.0
131,913.4417650699615,11855.0
132,917.968053817749,11840.0
133,951.289421081543,11800.0
134,962.4054691791534,11785.0
135,994.47389793396,11770.0
136,1011.8674750328064,11750.0
137,1063.6393020153046,11740.0
