Solution,Time,Objective
0,307.9206500053406,162945.0
1,309.25688791275024,147535.0
2,318.12126994132996,143005.0
3,324.9383397102356,140635.0
4,325.8175868988037,133825.0
5,329.0402407646179,132480.0
6,332.05693006515503,131790.0
7,333.7500081062317,127320.0
8,336.5470337867737,127200.0
9,336.97119998931885,120960.0
10,340.03607988357544,116130.0
11,342.3995599746704,115285.0
12,343.8638300895691,115280.0
13,345.0084569454193,107155.0
14,347.16072702407837,105855.0
15,349.4929459095001,102435.0
16,352.0344829559326,101645.0
17,353.97835993766785,101090.0
18,354.8105208873749,97265.0
19,358.1231608390808,92985.0
20,359.40736389160156,88160.0
21,361.6065208911896,84900.0
22,364.4219949245453,83790.0
23,365.1002538204193,81630.0
24,367.1268799304962,72185.0
25,369.66941475868225,72125.0
26,370.7272777557373,69795.0
27,373.4275767803192,69410.0
28,375.3976979255676,67720.0
29,377.6945049762726,67555.0
30,380.4138057231903,62395.0
31,384.7681300640106,59375.0
32,386.2047657966614,58670.0
33,390.0055937767029,55815.0
34,392.55820989608765,55215.0
35,397.3963088989258,51135.0
36,400.81107997894287,50920.0
37,402.9364969730377,50390.0
38,405.32427191734314,50350.0
39,406.4506287574768,49920.0
40,410.77111983299255,49905.0
41,412.83071780204773,48465.0
42,415.25828194618225,48435.0
43,418.033570766449,48225.0
44,419.3806610107422,47280.0
45,422.5041847229004,41895.0
46,424.9668347835541,41445.0
47,428.8021168708801,41415.0
48,429.72398686408997,40720.0
49,430.52171993255615,40380.0
50,432.6362187862396,40315.0
51,433.54759097099304,39895.0
52,437.02068567276,39855.0
53,438.5687198638916,39135.0
54,440.6246967315674,39105.0
55,442.50248193740845,39095.0
56,444.3875479698181,38995.0
57,447.1594228744507,38150.0
58,448.5853576660156,38090.0
59,449.3207747936249,38060.0
60,451.81536388397217,37445.0
61,454.9685528278351,37310.0
62,457.309611082077,36765.0
63,458.761935710907,36735.0
64,459.7751748561859,36705.0
65,462.2149167060852,36645.0
66,464.3931498527527,36210.0
67,467.8454620838165,36115.0
68,470.397234916687,35830.0
69,472.48973274230957,35820.0
70,475.58420586586,35695.0
71,480.1443099975586,35395.0
72,482.39219880104065,35365.0
73,485.9313521385193,35050.0
74,487.8791959285736,35040.0
75,488.95421075820923,34950.0
76,493.71351289749146,34920.0
77,495.4132170677185,34635.0
78,498.2722260951996,34605.0
79,499.78441977500916,31700.0
80,506.05585384368896,31070.0
81,507.68934774398804,29295.0
82,508.63140392303467,29085.0
83,511.00444293022156,28655.0
84,512.8305659294128,28630.0
85,514.6604058742523,28285.0
86,517.0143489837646,28275.0
87,517.5824320316315,24175.0
88,520.602814912796,21220.0
89,522.2127568721771,21205.0
90,524.6620700359344,18895.0
91,528.4852249622345,17335.0
92,533.121001958847,17075.0
93,534.890743970871,17065.0
94,536.249413728714,17010.0
95,538.65456199646,16810.0
96,540.2581639289856,16720.0
97,542.6484820842743,16655.0
98,549.120121717453,16635.0
99,553.8925838470459,16430.0
100,555.39311003685,16420.0
101,562.6782920360565,16390.0
102,567.3659498691559,16220.0
103,570.2924308776855,16200.0
104,572.6698517799377,15640.0
105,576.1642889976501,15060.0
106,578.6105999946594,14975.0
107,580.7417368888855,14945.0
108,589.3761129379272,14910.0
109,590.595282793045,14850.0
110,593.468850851059,14795.0
111,600.0900158882141,14770.0
112,601.2094919681549,14635.0
113,604.8413708209991,14615.0
114,608.368959903717,14575.0
115,610.2948698997498,14505.0
116,616.4265389442444,14465.0
117,623.8454449176788,14390.0
118,625.9361078739166,14375.0
119,633.5050868988037,14290.0
120,635.1938259601593,14275.0
121,635.687332868576,14220.0
122,640.81387591362,14150.0
123,647.1348857879639,14140.0
124,648.9758598804474,14105.0
125,650.1913018226624,14085.0
126,652.9968168735504,14065.0
127,655.4407007694244,14005.0
128,657.6619226932526,13985.0
129,670.1843650341034,13955.0
130,682.5299971103668,13895.0
131,688.3607409000397,13865.0
132,690.254674911499,12975.0
133,693.0475368499756,12965.0
134,701.1487638950348,12950.0
135,704.0521500110626,12935.0
136,709.0720188617706,12925.0
137,712.201308965683,12870.0
138,715.5959076881409,12810.0
139,717.0554749965668,12750.0
140,719.2132098674774,12720.0
141,720.687258720398,12550.0
142,722.0943548679352,12060.0
143,727.787966966629,12010.0
144,734.0892019271851,12005.0
145,736.6128697395325,11990.0
146,741.7027750015259,11980.0
147,751.3153920173645,11950.0
148,762.2905559539795,11945.0
149,765.4788129329681,11895.0
150,771.3305809497833,11865.0
151,775.1090178489685,11855.0
152,790.7356898784637,11835.0
153,808.2359387874603,11825.0
154,812.8184378147125,11805.0
155,814.7753260135651,11795.0
156,815.8751668930054,11785.0
157,824.7691159248352,11735.0
158,840.798476934433,11725.0
159,862.860426902771,11695.0
160,868.749648809433,11690.0
161,877.6367177963257,11680.0
162,879.7619547843933,11670.0
163,894.0255899429321,11665.0
164,900.4676580429077,11655.0
165,917.9125969409943,11625.0
166,930.1626818180084,11610.0
167,967.5324590206146,11600.0
168,994.5109748840332,11575.0
169,999.8711779117584,11555.0
170,1041.098177909851,11540.0
171,1043.81236577034,11500.0
172,1055.6326320171356,11485.0
173,1058.3229818344116,11475.0
174,1063.0924999713898,11460.0
175,1073.1851749420166,11440.0
