Solution,Time,Objective
0,130.05868196487427,85375.0
1,130.84674286842346,81500.0
2,134.56703090667725,79790.0
3,134.9519579410553,79225.0
4,138.7126259803772,78970.0
5,139.2152500152588,77970.0
6,141.01777291297913,77850.0
7,142.69383215904236,76175.0
8,143.81349802017212,68355.0
9,145.48478817939758,67290.0
10,145.6873869895935,61190.0
11,146.55447101593018,58505.0
12,147.8155481815338,58185.0
13,148.34331893920898,57285.0
14,148.73783802986145,55980.0
15,150.40745496749878,55830.0
16,151.06173706054688,53845.0
17,152.280268907547,52185.0
18,153.70463919639587,51980.0
19,156.35682010650635,51575.0
20,157.28011417388916,49970.0
21,158.1873471736908,49880.0
22,159.93880486488342,49020.0
23,160.38450598716736,47110.0
24,161.59713196754456,46920.0
25,162.12643909454346,44935.0
26,164.25046110153198,40375.0
27,165.8892970085144,40240.0
28,166.79339623451233,38365.0
29,167.61980891227722,36935.0
30,168.94852590560913,36755.0
31,170.0432631969452,36550.0
32,171.85859394073486,36520.0
33,173.55370903015137,35110.0
34,175.25733280181885,34500.0
35,177.76847982406616,33735.0
36,178.35255908966064,32575.0
37,180.44678401947021,32510.0
38,182.176038980484,32225.0
39,184.00050020217896,30955.0
40,185.72763514518738,30865.0
41,187.3866651058197,28030.0
42,188.92088317871094,27465.0
43,190.41678190231323,27405.0
44,191.9147880077362,27070.0
45,194.12902212142944,27035.0
46,195.9667251110077,26870.0
47,197.69816303253174,26855.0
48,200.01086711883545,26735.0
49,201.39417600631714,26605.0
50,202.49742817878723,26595.0
51,205.78342485427856,26585.0
52,206.398864030838,26510.0
53,208.01963996887207,26480.0
54,209.2267711162567,26450.0
55,214.02119398117065,26370.0
56,216.2996940612793,26250.0
57,217.95981621742249,26110.0
58,219.53309988975525,26095.0
59,220.4198760986328,26085.0
60,225.06050300598145,25895.0
61,227.70421290397644,25885.0
62,228.8522231578827,25850.0
63,229.5918481349945,25820.0
64,231.21768498420715,25810.0
65,231.8444368839264,25795.0
66,233.43755412101746,25785.0
67,235.25691509246826,25765.0
68,239.86623096466064,25570.0
69,240.66144514083862,25055.0
70,242.48840498924255,25025.0
71,245.19523286819458,24935.0
72,246.54088497161865,24795.0
73,248.1947340965271,24705.0
74,250.04964590072632,24665.0
75,250.87172198295593,24615.0
76,251.63984608650208,24105.0
77,253.34024500846863,24075.0
78,254.95947790145874,24045.0
79,257.68514919281006,22990.0
80,259.05012607574463,22930.0
81,260.15815687179565,22920.0
82,261.24282693862915,22870.0
83,262.07305788993835,22290.0
84,264.0594160556793,22265.0
85,264.60247111320496,22200.0
86,265.9794719219208,21990.0
87,267.31627106666565,21950.0
88,268.0329420566559,21920.0
89,268.7654519081116,21890.0
90,271.1951370239258,16370.0
91,274.35161900520325,16330.0
92,279.569452047348,16295.0
93,281.3775038719177,16285.0
94,282.7440631389618,16270.0
95,289.00343203544617,16250.0
96,290.01856088638306,16240.0
97,298.4067602157593,16225.0
98,300.35468006134033,13340.0
99,301.98270297050476,13130.0
100,304.7944760322571,12920.0
101,306.3912789821625,11010.0
102,310.63807916641235,10770.0
103,317.4625539779663,10275.0
104,319.96331906318665,10065.0
105,325.70316195487976,10045.0
106,327.92809796333313,9775.0
107,332.4037549495697,9715.0
108,333.34609508514404,9695.0
109,337.5634129047394,9665.0
110,341.4229648113251,9575.0
111,343.8620479106903,9565.0
112,348.11933398246765,9550.0
113,349.3253228664398,9490.0
114,351.2055079936981,9460.0
115,359.98473596572876,9450.0
116,374.1332471370697,9440.0
117,375.2208049297333,9410.0
118,379.1903340816498,9380.0
119,385.73552989959717,9370.0
120,393.2811949253082,9355.0
121,395.6111159324646,9325.0
122,398.9482421875,9315.0
123,402.21719789505005,9305.0
124,407.361212015152,9230.0
125,410.4182860851288,9190.0
126,424.5044798851013,9130.0
127,432.06844902038574,9120.0
128,433.9744670391083,9110.0
129,457.7703459262848,9105.0
130,463.194461107254,9095.0
131,472.1023850440979,9050.0
132,479.78930592536926,9040.0
133,490.0410010814667,9030.0
134,492.1639530658722,9020.0
135,532.6206130981445,9000.0
136,553.0221951007843,8990.0
137,578.5116970539093,8980.0
138,599.9759478569031,8960.0
139,633.4343299865723,8930.0
140,640.391294002533,8920.0
141,683.8418500423431,8910.0
142,721.3094170093536,8900.0
143,763.1774060726166,8890.0
144,790.5960328578949,8880.0
145,792.9682631492615,8870.0
146,797.6911971569061,8840.0
147,827.5958108901978,8830.0
148,838.8706679344177,8810.0
149,956.2053050994873,8790.0
