Solution,Time,Objective
0,968.1625790596008,198810.0
1,971.7291090488434,196535.0
2,983.4146292209625,195650.0
3,998.1303970813751,193800.0
4,1010.2944571971893,193560.0
5,1013.9363629817963,192695.0
6,1032.876377105713,191025.0
7,1038.0444359779358,190875.0
8,1040.2033832073212,190265.0
9,1044.253487110138,190175.0
10,1047.2132639884949,190115.0
11,1049.2234771251678,189280.0
12,1052.4657230377197,189090.0
13,1053.8727650642395,179855.0
14,1057.9235301017761,171880.0
15,1061.6001641750336,171630.0
16,1064.327875137329,171450.0
17,1067.0392100811005,166145.0
18,1073.086452960968,165965.0
19,1075.071162223816,163180.0
20,1077.3791229724884,163075.0
21,1080.449354171753,162880.0
22,1083.0864641666412,157620.0
23,1085.9503891468048,157595.0
24,1086.4445700645447,157235.0
25,1088.2601730823517,156025.0
26,1091.1421210765839,151735.0
27,1094.2671492099762,151705.0
28,1096.2850859165192,150480.0
29,1100.5351371765137,146745.0
30,1104.478224992752,144755.0
31,1108.8089759349823,144695.0
32,1112.1819159984589,143375.0
33,1115.3328530788422,143345.0
34,1119.2039270401,139625.0
35,1122.691819190979,139580.0
36,1122.720722913742,139565.0
37,1124.8550231456757,137955.0
38,1131.4457001686096,137835.0
39,1132.8450510501862,136900.0
40,1138.4291682243347,136305.0
41,1143.2115819454193,135720.0
42,1146.7638700008392,133765.0
43,1149.8377511501312,133705.0
44,1152.0186240673065,130485.0
45,1155.472620010376,129720.0
46,1158.592835187912,120195.0
47,1163.723207950592,109125.0
48,1167.9463381767273,99475.0
49,1172.3669791221619,95955.0
50,1176.2000079154968,95925.0
51,1178.5361471176147,95265.0
52,1182.0552251338959,90640.0
53,1185.5228190422058,90495.0
54,1187.7878341674805,90450.0
55,1188.405207157135,90345.0
56,1190.8538181781769,86740.0
57,1195.2921690940857,86620.0
58,1198.044152021408,86260.0
59,1198.6960830688477,85330.0
60,1201.7071750164032,81335.0
61,1205.229653120041,81185.0
62,1210.3085372447968,81095.0
