Solution,Time,Objective
0,304.6436131000519,162945.0
1,305.9092700481415,148570.0
2,311.1255569458008,145275.0
3,315.9022390842438,142590.0
4,316.63479018211365,139145.0
5,319.39799213409424,138365.0
6,322.51540088653564,137885.0
7,324.2388780117035,122905.0
8,327.70996499061584,121310.0
9,330.45891189575195,113270.0
10,333.00538325309753,112975.0
11,334.55561327934265,112670.0
12,335.3510060310364,107225.0
13,337.2082438468933,106770.0
14,341.5307641029358,106020.0
15,342.9316861629486,97590.0
16,347.06236600875854,97080.0
17,351.8335700035095,94250.0
18,355.33507204055786,94030.0
19,356.8050220012665,91530.0
20,360.3601882457733,91500.0
21,362.5104570388794,90410.0
22,364.38683795928955,90355.0
23,365.96533203125,90340.0
24,368.51745986938477,89765.0
25,370.96833515167236,89735.0
26,375.11207818984985,83875.0
27,377.62025690078735,83835.0
28,380.58232021331787,83550.0
29,382.0504701137543,82185.0
30,384.5238289833069,81710.0
31,387.3789429664612,81410.0
32,389.2301712036133,79675.0
33,392.1474931240082,79555.0
34,393.95755314826965,79355.0
35,395.16478419303894,75280.0
36,399.2061302661896,75170.0
37,400.1066370010376,75105.0
38,402.0056791305542,72130.0
39,404.3669948577881,72100.0
40,405.24322986602783,72075.0
41,407.0319621562958,71980.0
42,408.4655029773712,70560.0
43,412.6415250301361,70410.0
44,413.4219660758972,69710.0
45,415.72892212867737,69695.0
46,416.7138822078705,68550.0
47,419.3865919113159,68195.0
48,422.05363512039185,68155.0
49,422.489413022995,68150.0
50,424.7467510700226,68020.0
51,428.36640095710754,67970.0
52,430.1482980251312,67645.0
53,432.3918981552124,67615.0
54,433.62409591674805,50760.0
55,435.63594603538513,50510.0
56,441.4633240699768,50380.0
57,444.90989899635315,48385.0
58,447.9360649585724,48150.0
59,450.2763760089874,48120.0
60,450.5933680534363,44975.0
61,452.58565187454224,43985.0
62,454.31106305122375,41905.0
63,457.34051394462585,41560.0
64,458.85780811309814,41530.0
65,461.31333208084106,41325.0
66,464.10193610191345,41275.0
67,466.0645081996918,41245.0
68,467.04337310791016,41030.0
69,469.75173807144165,41020.0
70,473.5075161457062,40785.0
71,478.83520102500916,40655.0
72,482.6220989227295,40620.0
73,484.8117530345917,40610.0
74,486.16756105422974,39225.0
75,488.04627108573914,39135.0
76,489.4683310985565,39035.0
77,491.20644092559814,38865.0
78,493.1965470314026,35290.0
79,496.5356411933899,35260.0
80,498.8603620529175,33430.0
81,500.7747449874878,33365.0
82,502.1671359539032,33130.0
83,504.0874590873718,32485.0
84,506.4288990497589,32230.0
85,508.05233812332153,31420.0
86,509.84305715560913,31390.0
87,510.6465799808502,31330.0
88,514.5430262088776,31000.0
89,516.5884039402008,30970.0
90,517.897693157196,30900.0
91,519.5892150402069,30780.0
92,521.3116250038147,30705.0
93,525.191880941391,29880.0
94,530.1900899410248,28290.0
95,533.1020081043243,27500.0
96,534.6027219295502,27070.0
97,539.7982530593872,26710.0
98,541.777181148529,26700.0
99,548.1125390529633,26550.0
100,551.7299790382385,26535.0
101,555.8811781406403,26380.0
102,558.9699211120605,26330.0
103,560.5946531295776,26250.0
104,567.1501650810242,26130.0
105,570.1283481121063,26100.0
106,570.9403400421143,25960.0
107,576.0421681404114,25815.0
108,581.9149701595306,25700.0
109,585.6122601032257,25690.0
110,588.9503841400146,25585.0
111,592.0334730148315,24680.0
112,593.7713861465454,24660.0
113,597.2129111289978,24595.0
114,603.0420322418213,24535.0
115,606.4517180919647,24510.0
116,608.2491960525513,24490.0
117,610.1667819023132,24475.0
118,611.3100242614746,24460.0
119,612.660402059555,24220.0
120,616.172856092453,24185.0
121,620.0957722663879,24160.0
122,626.1079950332642,24100.0
123,633.198744058609,24020.0
124,636.6528618335724,23970.0
125,640.8248949050903,23455.0
126,642.9755601882935,23425.0
127,646.8623061180115,23055.0
128,648.491452217102,23045.0
129,650.7923078536987,23040.0
130,653.9836032390594,22780.0
131,658.1744182109833,22750.0
132,661.2592971324921,22720.0
133,664.6951150894165,22695.0
134,667.5835571289062,22490.0
135,675.0376229286194,22475.0
136,679.3854670524597,22450.0
137,682.4469208717346,22350.0
138,689.4744911193848,22235.0
139,700.0752120018005,22200.0
140,704.9360110759735,22120.0
141,713.5498991012573,21980.0
142,720.1969771385193,21965.0
143,731.6366500854492,21945.0
144,741.9232921600342,21930.0
145,748.5894389152527,21915.0
146,802.1480922698975,17920.0
147,809.646301984787,15190.0
148,813.3774099349976,15170.0
149,816.6479530334473,14090.0
150,819.5128781795502,13995.0
151,823.7699840068817,12915.0
152,830.3006000518799,12635.0
153,838.4309871196747,12610.0
154,842.0041301250458,12575.0
155,843.9592950344086,12535.0
156,846.6996269226074,12265.0
157,857.8352580070496,12260.0
158,869.9777240753174,12235.0
159,873.3556830883026,12205.0
160,884.4004368782043,12190.0
161,893.027517080307,12180.0
162,912.4690480232239,12170.0
163,915.860221862793,12150.0
164,919.9524121284485,12075.0
165,926.9147620201111,12025.0
166,933.4809432029724,11995.0
167,943.2829689979553,11985.0
168,950.0411739349365,11960.0
169,953.0261900424957,11945.0
170,960.6459271907806,11925.0
171,964.2731382846832,11915.0
172,981.6965491771698,11885.0
173,989.4199941158295,11875.0
174,992.8675608634949,11780.0
175,1004.7039768695831,11760.0
176,1012.8345279693604,11710.0
177,1030.8748090267181,11705.0
178,1047.1061351299286,11695.0
179,1073.0450580120087,11600.0
180,1076.0432381629944,11585.0
181,1084.0516452789307,11580.0
