Solution,Time,Objective
0,888.0235619544983,210735.0
1,891.157304763794,197795.0
2,902.9499559402466,194090.0
3,911.1807990074158,184575.0
4,917.667464017868,174885.0
5,926.5134270191193,170925.0
6,931.6310179233551,169515.0
7,933.4016671180725,163800.0
8,937.5212409496307,162900.0
9,941.984267950058,162315.0
10,944.4570119380951,158205.0
11,948.0962870121002,157905.0
12,949.8646669387817,156265.0
13,957.4136300086975,156025.0
14,959.7610909938812,154645.0
15,962.204174041748,143550.0
16,965.7829079627991,139030.0
17,967.4231309890747,139010.0
18,969.5975601673126,136750.0
19,973.3529579639435,136660.0
20,976.5694830417633,136540.0
21,978.7454609870911,132740.0
22,980.6039869785309,127825.0
23,983.6380319595337,127585.0
24,984.9214658737183,126085.0
25,988.211462020874,125975.0
26,990.1576609611511,116360.0
27,992.9589440822601,112410.0
28,995.9239180088043,111510.0
29,999.095312833786,111210.0
30,1001.403951883316,103650.0
31,1004.5094919204712,101060.0
32,1008.3476219177246,97150.0
33,1011.5988569259644,95595.0
34,1015.349907875061,95340.0
35,1018.0704309940338,86700.0
36,1020.6111259460449,82470.0
37,1024.2205760478973,79260.0
38,1027.9686229228973,79170.0
39,1033.4041419029236,74050.0
40,1038.778254032135,73830.0
41,1042.9807019233704,71060.0
42,1044.7152969837189,70980.0
43,1049.1014049053192,69435.0
44,1053.2723588943481,69325.0
45,1056.2318160533905,68150.0
46,1061.6049709320068,67210.0
47,1070.3493461608887,67150.0
48,1073.3154819011688,66645.0
49,1081.375704050064,57130.0
50,1087.2202520370483,56770.0
51,1095.0056037902832,56710.0
52,1096.555951833725,56650.0
53,1107.4183371067047,56370.0
54,1115.0411050319672,56330.0
55,1121.213881969452,51165.0
56,1125.613805770874,51135.0
57,1133.6288039684296,49100.0
58,1135.6787550449371,49090.0
59,1138.5542018413544,48880.0
60,1140.7232229709625,47055.0
61,1142.6739010810852,46965.0
62,1146.530375957489,46725.0
63,1152.4804291725159,46695.0
64,1156.9057381153107,45155.0
65,1160.3975780010223,44375.0
66,1164.557734966278,44345.0
67,1166.0337109565735,44245.0
68,1168.741749048233,43620.0
69,1171.3461909294128,43605.0
70,1174.9677288532257,43475.0
71,1179.9738359451294,39800.0
72,1184.2317509651184,38650.0
73,1192.4649529457092,38190.0
74,1197.0104808807373,38140.0
75,1201.4261119365692,37635.0
