Solution,Time,Objective
0,58.764357805252075,236470.0
1,59.399502754211426,222840.0
2,70.67805862426758,215785.0
3,75.85250473022461,201400.0
4,79.85697364807129,199720.0
5,82.67468881607056,195590.0
6,83.72061967849731,195080.0
7,90.48640775680542,195050.0
8,91.82353162765503,195020.0
9,94.47761678695679,194055.0
10,97.4804208278656,193635.0
11,101.43301296234131,88565.0
12,104.29208278656006,88355.0
13,108.13387703895569,88345.0
14,111.49014663696289,88335.0
15,111.92054080963135,80295.0
16,122.39661979675293,79050.0
17,123.7376708984375,78750.0
18,124.15916180610657,69985.0
19,125.27282166481018,66080.0
20,127.04016160964966,65900.0
21,128.12740778923035,56015.0
22,129.61845874786377,55955.0
23,131.26599979400635,54955.0
24,138.21466660499573,52315.0
25,139.79110670089722,52205.0
26,140.401784658432,52135.0
27,141.45157885551453,52000.0
