Solution,Time,Objective
0,785.4206209182739,210735.0
1,787.617969751358,199390.0
2,797.1645047664642,195845.0
3,808.1694839000702,195815.0
4,809.8588027954102,191965.0
5,819.2528860569,191140.0
6,821.7515320777893,188575.0
7,825.2052297592163,185220.0
8,829.0402028560638,172580.0
9,836.1305708885193,164195.0
10,841.0440769195557,163835.0
11,842.7857847213745,154190.0
12,843.9956250190735,152960.0
13,845.6646819114685,152435.0
14,847.8214728832245,144265.0
15,850.9965450763702,142375.0
16,856.6418597698212,137715.0
17,858.5541586875916,137010.0
18,861.1505188941956,136865.0
19,862.6093368530273,135500.0
20,865.2072339057922,135460.0
21,867.0104660987854,135315.0
22,869.4571988582611,134725.0
23,870.8689658641815,129990.0
24,875.9615049362183,127650.0
25,878.1745200157166,122795.0
26,883.8939120769501,119685.0
27,887.703763961792,119670.0
28,887.7746937274933,119440.0
29,889.0827629566193,116010.0
30,890.7286157608032,114645.0
31,893.3995487689972,114435.0
32,895.4244568347931,111795.0
33,897.1780626773834,97375.0
34,901.8499088287354,96415.0
35,905.7237968444824,96355.0
36,907.5230059623718,93865.0
37,913.6303369998932,93745.0
38,914.7964668273926,92735.0
39,919.8021156787872,91935.0
40,921.6232750415802,91875.0
41,924.0716097354889,91845.0
42,924.1937158107758,91830.0
43,925.3953337669373,91360.0
44,927.6069669723511,89995.0
45,930.9928538799286,89580.0
46,937.0329358577728,89410.0
47,938.9112129211426,86190.0
48,943.3093039989471,84800.0
49,947.4667408466339,82545.0
50,951.8329129219055,81885.0
51,961.2117650508881,76315.0
52,963.4358646869659,76270.0
53,967.5575828552246,73965.0
54,970.6961958408356,73755.0
55,972.3479769229889,73695.0
56,974.2826790809631,72455.0
57,977.6565828323364,72395.0
58,979.4781539440155,68660.0
59,983.6829869747162,57995.0
60,985.5176000595093,57890.0
61,988.3392069339752,57830.0
62,989.9483678340912,54515.0
63,993.3602077960968,54155.0
64,997.2993528842926,53210.0
65,999.5999627113342,52360.0
66,1001.4665200710297,52280.0
67,1005.5953710079193,51580.0
68,1014.9852809906006,51520.0
69,1017.2109770774841,51140.0
70,1020.5291666984558,51125.0
71,1023.7027399539948,51065.0
72,1029.268338918686,51050.0
73,1034.9105288982391,49860.0
74,1040.0251638889313,48980.0
75,1045.6067190170288,48920.0
76,1047.2102336883545,48340.0
77,1052.2236609458923,48290.0
78,1059.8925569057465,48020.0
79,1062.471540927887,48005.0
80,1066.3371529579163,47745.0
81,1072.6810517311096,47685.0
82,1077.4673249721527,45210.0
83,1081.3935248851776,45100.0
84,1087.0442917346954,45075.0
85,1092.2271060943604,43665.0
86,1100.8837497234344,42880.0
87,1107.3992807865143,41600.0
88,1111.6222820281982,41060.0
89,1117.0276820659637,41030.0
90,1119.2689757347107,40555.0
91,1124.4283759593964,40285.0
92,1127.6414659023285,40265.0
93,1132.006148815155,39340.0
94,1133.8430290222168,38175.0
95,1137.9385709762573,37760.0
96,1143.0687408447266,37745.0
97,1143.0917739868164,37265.0
98,1145.798104763031,37235.0
99,1147.478656053543,37095.0
100,1153.1481897830963,32600.0
101,1155.4398629665375,32585.0
102,1157.8897309303284,32555.0
103,1167.70804977417,32510.0
104,1173.5906529426575,31930.0
105,1175.6046319007874,31825.0
106,1178.3601310253143,31615.0
107,1180.7346308231354,31600.0
108,1184.7335109710693,31320.0
109,1188.4616067409515,31075.0
110,1190.497547864914,31030.0
111,1193.7073028087616,30890.0
112,1196.3614468574524,30885.0
113,1199.8530158996582,30725.0
114,1203.9882628917694,30700.0
115,1208.195024728775,30595.0
