Solution,Time,Objective
0,896.6204009056091,198810.0
1,899.9294168949127,183890.0
2,910.3982226848602,178445.0
3,916.9403860569,178025.0
4,920.6252527236938,173015.0
5,927.8679459095001,172910.0
6,930.4655737876892,169265.0
7,934.6382620334625,159455.0
8,936.8523368835449,154460.0
9,941.0413548946381,154040.0
10,944.7313919067383,153785.0
11,946.1030950546265,151040.0
12,949.1891529560089,143730.0
13,952.2380208969116,143460.0
14,954.1923518180847,137960.0
15,955.8319606781006,129535.0
16,958.5991439819336,129055.0
17,960.0848319530487,126335.0
18,962.5313308238983,126165.0
19,965.6214509010315,125925.0
20,967.5652828216553,120705.0
21,969.2969968318939,115465.0
22,971.7634038925171,115405.0
23,974.1031527519226,110610.0
24,976.472599029541,109410.0
25,979.6986207962036,103540.0
26,981.0324449539185,102895.0
27,984.1578488349915,102715.0
28,986.0639050006866,99160.0
29,989.1024098396301,99140.0
30,991.3429307937622,97325.0
31,993.9877886772156,95580.0
32,995.5762989521027,94140.0
33,1000.0809369087219,94125.0
34,1002.2054047584534,87585.0
35,1005.9238908290863,86895.0
36,1007.5818057060242,79925.0
37,1009.9675178527832,77330.0
38,1011.5598556995392,74160.0
39,1016.1445848941803,73580.0
40,1018.8023717403412,71805.0
41,1021.8580458164215,71775.0
42,1023.4647297859192,70490.0
43,1026.170756816864,68845.0
44,1031.0043518543243,68720.0
45,1033.9771599769592,68690.0
46,1035.268964767456,68150.0
47,1040.4079778194427,68135.0
48,1040.713295698166,68120.0
49,1042.3411757946014,66185.0
50,1046.5476658344269,66095.0
51,1048.0716547966003,64375.0
52,1051.3978459835052,64185.0
53,1054.1281390190125,61275.0
54,1056.551276922226,61245.0
55,1057.9964549541473,59550.0
56,1060.779356956482,59410.0
57,1061.6793978214264,58380.0
58,1065.500376701355,57720.0
59,1067.8782758712769,57675.0
60,1070.056972026825,56280.0
61,1075.6590979099274,49350.0
62,1077.6926798820496,49170.0
63,1080.1681189537048,48750.0
64,1082.0563988685608,43700.0
65,1085.9207479953766,40915.0
66,1088.0574326515198,38120.0
67,1091.146803855896,38030.0
68,1099.5832839012146,35110.0
69,1102.2605669498444,35100.0
70,1102.6098058223724,34930.0
71,1105.5374348163605,34550.0
72,1110.590627670288,34115.0
73,1117.3626849651337,33305.0
74,1119.08109998703,33275.0
75,1122.5986371040344,32255.0
76,1124.4821798801422,32210.0
77,1128.6438918113708,32170.0
78,1131.2031297683716,32160.0
79,1133.066734790802,31995.0
80,1139.3587379455566,31980.0
81,1151.5494966506958,31885.0
82,1154.2331058979034,31710.0
83,1157.9993438720703,30225.0
84,1161.453814983368,30195.0
85,1163.6975407600403,30185.0
86,1165.3522517681122,29520.0
87,1167.8268506526947,29430.0
88,1173.035479068756,28790.0
89,1176.7871778011322,28545.0
90,1181.568051815033,28285.0
91,1187.02090382576,28255.0
92,1191.2357850074768,28070.0
93,1202.168711900711,27965.0
