Solution,Time,Objective
0,414.8784759044647,157610.0
1,416.4586548805237,148965.0
2,421.7406237125397,127705.0
3,422.3478548526764,127645.0
4,427.2649779319763,121405.0
5,432.7052159309387,119755.0
6,433.59548163414,114525.0
7,434.36104583740234,114225.0
8,438.5204977989197,113865.0
9,439.4346706867218,109635.0
10,441.5234696865082,109440.0
11,442.4124689102173,95855.0
12,445.6748847961426,93565.0
13,448.0993058681488,93390.0
14,450.030113697052,90470.0
15,451.81199884414673,90380.0
16,452.22798371315,88270.0
17,455.13241481781006,86730.0
18,457.00985169410706,86640.0
19,458.6900029182434,86535.0
20,458.8940899372101,86445.0
21,460.13220286369324,82650.0
22,463.2989978790283,82380.0
23,464.5449118614197,82305.0
24,466.3346529006958,72595.0
25,468.08201479911804,68600.0
26,469.86550664901733,63950.0
27,470.8806447982788,63080.0
28,472.50252389907837,62840.0
29,473.21954894065857,62065.0
30,474.830463886261,59830.0
31,476.07087087631226,58365.0
32,477.92909574508667,55495.0
33,480.22972798347473,55375.0
34,481.84055972099304,48160.0
35,483.5932238101959,45955.0
36,485.9392898082733,41940.0
37,488.2106008529663,41880.0
38,489.0907247066498,41745.0
39,491.1013607978821,41685.0
40,491.2862157821655,39650.0
41,492.6061120033264,39610.0
42,494.2358536720276,39520.0
43,494.2495186328888,36720.0
44,495.1361448764801,35940.0
45,497.0265498161316,35820.0
46,498.0120997428894,34640.0
47,500.1633548736572,34490.0
48,505.29555583000183,33575.0
49,507.73428177833557,33440.0
50,508.6820638179779,32950.0
51,510.8883225917816,29805.0
52,513.7649388313293,29360.0
53,515.0097856521606,29290.0
54,515.9287347793579,29050.0
55,518.2551376819611,29035.0
56,519.2464447021484,28915.0
57,519.6970458030701,27465.0
58,520.6593358516693,27425.0
59,521.7279849052429,27335.0
60,523.8900368213654,26460.0
61,525.1470458507538,26395.0
62,526.5932927131653,26010.0
63,528.3969378471375,25980.0
64,529.082329750061,25940.0
65,532.2867178916931,25485.0
66,534.1816687583923,25455.0
67,536.2150359153748,25265.0
68,541.2639968395233,25010.0
69,544.6850988864899,24915.0
70,552.3081247806549,24735.0
71,556.1230199337006,24145.0
72,560.2584257125854,23720.0
73,562.9293937683105,23600.0
74,563.5818786621094,23425.0
75,565.7184016704559,23390.0
76,567.6768229007721,23315.0
77,569.7039577960968,23310.0
78,571.5034427642822,23160.0
79,572.6967837810516,21020.0
80,573.6262078285217,19880.0
81,577.4770548343658,18185.0
82,578.9350657463074,18155.0
83,581.1404328346252,16820.0
84,583.0208387374878,16730.0
85,584.0763838291168,15910.0
86,586.7059268951416,15495.0
87,589.1192336082458,15470.0
88,591.377427816391,15310.0
89,592.4288859367371,15170.0
90,594.5225720405579,15110.0
91,597.5178928375244,15050.0
92,604.6155867576599,15035.0
93,605.6875646114349,15005.0
94,607.2937159538269,14885.0
95,608.7838625907898,14870.0
96,611.7513856887817,14860.0
97,614.617223739624,14770.0
98,617.6423997879028,14765.0
99,619.3902118206024,14640.0
100,622.831515789032,14630.0
101,623.1032266616821,14620.0
102,624.5845758914948,14590.0
103,626.34281873703,14545.0
104,627.3575580120087,14525.0
105,629.061537027359,14470.0
106,632.1371967792511,14440.0
107,635.0257678031921,14365.0
108,638.4946658611298,14315.0
109,639.6246907711029,14310.0
110,642.7921426296234,14250.0
111,644.8066067695618,14235.0
112,646.1135406494141,14120.0
113,651.4078488349915,14065.0
114,652.756561756134,14060.0
115,654.1240158081055,14015.0
116,655.8707737922668,14005.0
117,661.0423457622528,13945.0
118,662.4267098903656,13940.0
119,664.2573246955872,13935.0
120,666.6227757930756,13915.0
121,669.1650359630585,13895.0
122,674.9026927947998,13870.0
123,677.0385868549347,13390.0
124,678.7252078056335,13380.0
125,680.7281978130341,13080.0
126,683.1872246265411,13065.0
127,683.4071259498596,13020.0
128,684.6177709102631,13005.0
129,685.315771818161,13000.0
130,687.914303779602,12765.0
131,688.9537508487701,12755.0
132,690.4340538978577,12695.0
133,694.8340537548065,12570.0
134,698.3631706237793,12550.0
135,703.7664709091187,12490.0
136,706.2719807624817,12425.0
137,714.84437084198,12410.0
138,716.7047717571259,12400.0
139,719.3505966663361,12375.0
140,723.3420689105988,12325.0
141,738.8081657886505,12315.0
142,756.8444437980652,12305.0
143,758.828938961029,12295.0
144,767.5383567810059,12275.0
145,771.4411950111389,12265.0
146,776.6864068508148,12255.0
147,786.0070147514343,12220.0
148,790.9042167663574,12210.0
149,792.833135843277,12200.0
150,794.542329788208,12185.0
151,809.0219447612762,12165.0
152,815.6335716247559,12155.0
153,832.4210448265076,12135.0
154,834.403425693512,12115.0
155,842.0678298473358,12095.0
156,847.3332188129425,12085.0
157,849.1262547969818,12080.0
158,850.5621747970581,12075.0
159,857.6786067485809,12065.0
160,874.4338438510895,12045.0
161,881.7797429561615,12015.0
162,890.3017137050629,12010.0
163,891.9995477199554,11965.0
164,897.9569978713989,11920.0
165,902.0091226100922,11900.0
166,918.5188698768616,11890.0
167,922.2084527015686,11870.0
168,940.7583067417145,11810.0
169,951.5417609214783,11805.0
170,968.237530708313,11795.0
171,972.0912027359009,11775.0
172,983.8649935722351,11735.0
173,1014.9718039035797,11715.0
174,1022.3359718322754,11705.0
175,1033.2229797840118,11695.0
176,1054.3096199035645,11685.0
